VARIABLES,LABELS,var_name,coef,se,aster,ci_low,ci_high,p_label,var_name2,tbl_num,is_dfe,tbl_num_2
extension_pub,Public extension,Organic Fertilisers (DFE),0.024,0.012,**,0,0.047,0.024**,Organic<br>Fertilisers,1,1,2
extension_pub,Public extension,Organic Fertilisers,-0.022,0.013,*,-0.047,0.002,-0.022*,Organic<br>Fertilisers,1,0,2
training,Training,Intercropping (DFE),0.055,0.017,***,0.022,0.087,0.055***,Intercropping,2,1,4
training,Training,Intercropping,0.017,0.015,,-0.013,0.047,0.017,Intercropping,2,0,4
training,Training,Crop Rotation (DFE),0.026,0.014,*,-0.001,0.053,0.026*,Crop<br>Rotation,2,1,4
training,Training,Crop Rotation,0.057,0.014,***,0.03,0.084,0.057***,Crop<br>Rotation,2,0,4
training,Training,Improved Seeds (DFE),0.1,0.014,***,0.073,0.126,0.1***,Improved<br>Seeds ,2,1,4
training,Training,Improved Seeds,0.132,0.013,***,0.106,0.157,0.132***,Improved<br>Seeds,2,0,4
training,Training,Organic Fertilisers (DFE),0.013,0.011,,-0.008,0.035,0.013,Organic<br>Fertilisers,2,1,4
training,Training,Organic Fertilisers,-0.031,0.012,***,-0.054,-0.007,-0.031***,Organic<br>Fertilisers,2,0,4
